發生時間,發生地點,死亡受傷人數,車種,經度,緯度
110年01月06日 12時47分00秒,宜蘭縣羅東鎮仁愛路3段口 / 宜蘭縣羅東鎮復興路3段口,死亡1;受傷0,自用-小客車;普通重型-機車,121.762810,24.699133
110年01月06日 16時51分00秒,臺中市梧棲區橋柱P353前,死亡1;受傷1,普通重型-機車;自用-小客車,120.526622,24.227253
110年01月06日 17時35分00秒,臺中市沙鹿區沙鹿交流道機車道(匝道旁),死亡1;受傷1,普通重型-機車;乘客-人,120.592521,24.250328
110年01月06日 19時14分00秒,臺中市北屯區陳平里中平路 / 臺中市北屯區陳平里敦化路二段,死亡1;受傷1,普通重型-機車;普通重型-機車,120.663479,24.185442
110年01月06日 21時50分00秒,屏東縣竹田鄉光明路4之5號,死亡1;受傷0,普通重型-機車,120.529530,22.620011
110年01月07日 00時44分00秒,臺北市中山區復興北路 / 臺北市中山區民生東路3段,死亡1;受傷0,自用-小客車;行人-人,121.544018,25.057853
110年01月07日 04時08分00秒,臺南市東區東門路2段411號,死亡1;受傷0,普通重型-機車,120.229231,22.981324
110年01月07日 15時44分00秒,彰化縣員林市東北里山腳路6段337號前0.0公尺前,死亡1;受傷0,普通重型-機車;營業用-曳引車,120.591547,23.979805
110年01月08日 04時53分00秒,屏東縣屏東市建國路382-2號前0.0公尺附近,死亡1;受傷0,行人-人;自用-小客車,120.467524,22.658249
110年01月08日 10時45分00秒,新北市泰山區新北市泰山區民權街31號與民權街,死亡1;受傷0,營業用-小貨車(含客、貨兩用);行人-人,121.428966,25.050740
110年01月08日 13時03分00秒,彰化縣大村鄉村上村中正東路153-1號前0.0公尺西側,死亡1;受傷0,普通重型-機車;自用-小客車,120.568079,23.989428
110年01月08日 15時29分00秒,臺南市仁德區太子里太子路與土庫路口,死亡1;受傷1,自用-小客車;大型重型2(250-550C.C.)-機車,120.257223,22.991556
110年01月08日 16時19分00秒,高雄市林園區中門路333號前0.0公尺前,死亡1;受傷0,普通重型-機車,120.366022,22.508725
110年01月08日 17時38分00秒,高雄市梓官區公館路石潭橋號前0.0公尺,死亡1;受傷0,普通重型-機車;農耕用車(或機械)-其他車,120.273947,22.771166
110年01月08日 17時56分56秒,屏東縣萬丹鄉水仙村大仁路199巷與大仁路(往西10公尺處),死亡1;受傷0,普通重型-機車;自用-大貨車,120.486166,22.549821
110年01月09日 04時53分00秒,臺南市中西區民生路2段西側 / 臺南市中西區康樂街南側,死亡1;受傷0,計程車-小客車;普通重型-機車,120.195274,22.995693
110年01月09日 12時14分22秒,臺南市東山區聖賢里區道南314線北勢寮91之2號前0.0公尺西側,死亡1;受傷0,自用-小客車,120.361292,23.309723
110年01月09日 14時29分00秒,彰化縣彰化市下廍里自強路352號前0.0公尺前,死亡1;受傷1,自用-小客車;普通重型-機車;普通重型-機車;自用-小客車;自用-小客車;自用-小客車,120.547814,24.091097
110年01月09日 15時45分00秒,臺南市新營區嘉芳里新運五路(近新運二路口),死亡1;受傷0,普通重型-機車,120.281829,23.310689
110年01月10日 03時15分05秒,苗栗縣銅鑼鄉國道1號 138公里700.0公尺處北側向外側,死亡1;受傷0,營業用-大貨車;自用-小客車;自用-小客車,120.782498,24.483412
110年01月10日 06時00分00秒,彰化縣社頭鄉橋頭村員集路3段263號前0.0公尺前,死亡1;受傷0,自用-小客車;行人-人,120.581711,23.912492
110年01月10日 10時05分00秒,彰化縣和美鎮月眉里和港路307號前0.0公尺,死亡1;受傷0,大型重型1(550C.C.以上)-機車,120.490688,24.127287
110年01月10日 11時13分00秒,臺中市大甲區德化里東西五路一段 / 臺中市大甲區德化里南北三路,死亡1;受傷0,自用-小客車;電動自行車-慢車,120.626766,24.374901
110年01月10日 18時21分00秒,臺中市大里區西湖里草堤路229號前0.0公尺,死亡1;受傷0,自用-小客車,120.672991,24.081261
110年01月10日 20時39分00秒,彰化縣福興鄉外中村番花路1段前0.0公尺,死亡1;受傷1,自用-小客車;普通重型-機車,120.480364,24.017853
110年01月11日 02時44分00秒,苗栗縣南庄鄉苗124乙線4.3公里處,死亡1;受傷0,自用-小客車;行人-人,120.999098,24.634867
110年01月11日 06時14分00秒,臺中市北屯區平和里文心路四段123號前0.0公尺,死亡1;受傷1,普通重型-機車;普通重型-機車;自用-小客車;自用-小客車,120.675193,24.173921
110年01月11日 12時40分36秒,宜蘭縣三星鄉台7甲線 6公里100.0公尺處東側向內側,死亡1;受傷2,自用-小貨車(含客、貨兩用);營業用-大貨車;乘客-人,121.507641,24.592609
110年01月11日 15時40分00秒,高雄市田寮區西德路 / 高雄市田寮區西德路,死亡1;受傷1,自用-小貨車(含客、貨兩用);自用-小客車,120.385789,22.880606
110年01月11日 18時57分00秒,高雄市大社區和平路1段118號前0.0公尺,死亡1;受傷0,普通重型-機車;營業用-曳引車,120.301520,22.627160
110年01月12日 08時45分00秒,臺東縣卑南鄉明峰村牧場60號,死亡1;受傷0,普通重型-機車,121.112814,22.867121
110年01月12日 16時41分53秒,花蓮縣鳳林鎮花東公路口 / 花蓮縣鳳林鎮長橋路口,死亡1;受傷0,腳踏自行車-慢車;自用-小客車;乘客-人,121.419328,23.707251
110年01月12日 18時05分00秒,屏東縣恆春鎮恆春鎮恆東路與恆南路4巷路口,死亡1;受傷0,普通重型-機車;民營客運-大客車,120.750790,22.004285
110年01月12日 19時58分00秒,臺中市西屯區上安里上安路86號前0.0公尺,死亡1;受傷1,普通重型-機車;行人-人,120.640339,24.170972
110年01月12日 22時35分48秒,臺中市神岡區國道1號 168公里600.0公尺處北側向減速車道,死亡1;受傷3,自用-小客車;乘客-人;乘客-人;乘客-人,120.689807,24.244319
110年01月12日 22時37分12秒,臺南市歸仁區八甲里文化街一段口 / 臺南市歸仁區八甲里大仁街,死亡1;受傷0,自用-小客車,120.300670,22.971547
110年01月13日 05時35分00秒,臺北市萬華區東園街 / 臺北市萬華區東園街,死亡1;受傷1,普通重型-機車;行人-人,121.497925,25.022701
110年01月13日 09時43分00秒,臺中市大肚區頂街里自由路 / 臺中市大肚區頂街里華山路,死亡1;受傷0,普通重型-機車;自用-小客車,120.547745,24.155704
110年01月13日 11時00分00秒,雲林縣西螺鎮河南里社口路埔心17號電桿處,死亡1;受傷0,普通重型-機車;自用-小客車,120.442779,23.792713
110年01月13日 11時13分37秒,新竹縣芎林鄉富林路口 / 新竹縣芎林鄉竹林路口,死亡1;受傷0,自用-大貨車;普通重型-機車,121.096835,24.750009
110年01月13日 16時01分00秒,高雄市鳥松區中正路 / 高雄市鳥松區大同路,死亡1;受傷1,營業用-曳引車;普通重型-機車;乘客-人,120.371218,22.653973
110年01月13日 17時07分00秒,高雄市湖內區中山路2段154號前0.0公尺前,死亡1;受傷1,腳踏自行車-慢車;普通重型-機車,120.228300,22.907570
110年01月14日 05時06分15秒,臺南市下營區後街里中正北路北側 / 臺南市下營區後街里人和二街西側,死亡1;受傷1,普通重型-機車;腳踏自行車-慢車;自用-小客車,120.261664,23.237488
110年01月14日 06時06分00秒,桃園市楊梅區高上里高上路1段67之1號前0.0公尺,死亡1;受傷0,自用-小貨車(含客、貨兩用);行人-人,121.162883,24.937458
110年01月14日 07時34分00秒,臺中市大甲區龍泉里中山路二段930-1號前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小客車,120.641973,24.401343
110年01月14日 08時20分00秒,臺中市大肚區王田里沙田路1段108號前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小客車;營業用-半聯結車,120.576768,24.118855
110年01月14日 09時59分00秒,臺東縣卑南鄉和平路東側 / 臺東縣卑南鄉和平路北側,死亡1;受傷0,普通重型-機車;自用-大貨車,121.091829,22.787285
110年01月14日 15時05分46秒,花蓮縣秀林鄉和平村和平路83之1號前0.0公尺,死亡1;受傷0,自用-小客車;行人-人,121.747784,24.308947
110年01月14日 16時39分10秒,新竹縣尖石鄉嘉樂村3鄰嘉樂路179-6號前0.0公尺附近,死亡1;受傷0,自用-小客車;營業用-大貨車,121.211806,24.705057
110年01月14日 16時43分00秒,臺中市東區近東英六街,死亡1;受傷0,普通重型-機車,120.710303,24.139932
110年01月14日 17時55分00秒,臺南市善化區南關里三民路口 / 臺南市善化區南關里永安路口,死亡1;受傷0,自用-小客車;腳踏自行車-慢車,120.287805,23.129519
110年01月14日 19時45分00秒,新北市板橋區新北市板橋區堤外機車專用道路與堤外機車專用道路(浮洲橫移門),死亡1;受傷2,普通重型-機車;行人-人;乘客-人,121.469820,25.036062
110年01月15日 04時05分00秒,臺南市歸仁區中正北路2段124號南側,死亡1;受傷0,普通重型-機車,120.293608,22.981622
110年01月15日 06時50分00秒,彰化縣伸港鄉溪底村濱海路 / 彰化縣伸港鄉溪底村工五路,死亡1;受傷0,普通重型-機車;自用-大貨車,120.514398,24.167575
110年01月15日 07時37分00秒,新北市中和區新北市中和區中正路64巷,死亡1;受傷0,普通重型-機車;民營公車-大客車,121.501224,24.993962
110年01月15日 08時40分00秒,新北市三峽區新北市三峽區介壽路3段115號,死亡1;受傷0,自用-小客車,121.399058,24.942261
110年01月15日 13時56分00秒,雲林縣褒忠鄉田洋村田洋80電桿前,死亡1;受傷0,普通重型-機車,120.309368,23.721012
110年01月15日 19時12分00秒,桃園市中壢區中山東路3段106號前0.0公尺附近,死亡1;受傷0,行人-人;營業用-大貨車,121.248138,24.944359
110年01月15日 20時15分00秒,新竹縣竹東鎮中興路一段270號前,死亡1;受傷2,普通重型-機車;普通重型-機車;乘客-人,121.069543,24.756867
110年01月15日 23時30分00秒,桃園市中壢區培英路口 / 桃園市中壢區育英路口,死亡1;受傷1,普通重型-機車;自用-小客車;乘客-人,121.224837,24.973751
110年01月16日 07時32分00秒,臺中市龍井區龍泉里沙田路5段315巷前0.0公尺,死亡1;受傷0,普通重型-機車;自用-大貨車,120.543621,24.202581
110年01月16日 08時53分27秒,桃園市大園區中山南路2段379號前0.0公尺,死亡1;受傷0,普通重型-機車,121.213342,25.026811
110年01月16日 10時30分48秒,雲林縣北港鎮樹腳里大同路(路燈編號112625前),死亡1;受傷0,普通重型-機車,120.276445,23.579726
110年01月16日 10時47分00秒,高雄市岡山區介壽西路前 / 高雄市岡山區通校路,死亡1;受傷0,營業用-大貨車;腳踏自行車-慢車,120.281357,22.784276
110年01月16日 13時48分00秒,桃園市新屋區聚賢路205號前0.0公尺,死亡1;受傷0,普通重型-機車,121.029669,24.994300
110年01月16日 14時06分00秒,宜蘭縣礁溪鄉玉龍路二段87號前,死亡1;受傷1,自用-小客車;租賃車-小客車,121.787872,24.802050
110年01月16日 16時23分00秒,高雄市岡山區嘉峰路 / 高雄市岡山區嘉峰路,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車,120.311936,22.827783
110年01月16日 23時23分00秒,新北市五股區新北市五股區中興路3段192號旁,死亡1;受傷0,普通重型-機車,121.443922,25.082755
110年01月17日 02時34分00秒,新北市板橋區新北市板橋區環河西路4段000720號燈桿,死亡1;受傷0,普通重型-機車,121.485541,25.022253
110年01月17日 06時23分00秒,高雄市鼓山區九如四路 / 高雄市鼓山區內惟路,死亡1;受傷0,普通輕型-機車;自用-小客車,120.283627,22.667691
110年01月17日 08時07分00秒,臺南市中西區健康路1段10號,死亡1;受傷0,自用-小客車;普通重型-機車,120.211739,22.981246
110年01月17日 10時44分25秒,新竹市香山區延平路二段45巷口,死亡1;受傷0,普通重型-機車;普通重型-機車;自用-小客車,120.942658,24.805041
110年01月17日 20時40分34秒,桃園市中壢區中觀路二段(井厝幹28之30電桿)旁,死亡1;受傷0,普通重型-機車,121.163246,24.981192
110年01月18日 16時11分00秒,臺南市安定區安加里區道南132線口 / 臺南市安定區安加里市道178線口,死亡1;受傷0,自用-大貨車;腳踏自行車-慢車,120.235299,23.115109
110年01月18日 20時44分00秒,屏東縣崁頂鄉平和南路與龍港路口,死亡1;受傷0,普通重型-機車;自用-小客車,120.474956,22.501589
110年01月19日 14時50分29秒,桃園市大園區聖德北路538號前0.0公尺,死亡1;受傷0,普通重型-機車;自用-大貨車,121.194297,25.039071
110年01月20日 05時47分00秒,新北市新莊區新北市新莊區福慧路與新知六路,死亡1;受傷0,營業用-小貨車(含客、貨兩用);大型重型2(250-550C.C.)-機車,121.458355,25.062229
110年01月20日 07時35分35秒,苗栗縣西湖鄉119線8.5公里處,死亡1;受傷1,自用-小客車;行人-人,120.750040,24.545616
110年01月20日 10時00分03秒,臺南市龍崎區182線往東22.7K附近,死亡1;受傷1,普通重型-機車;乘客-人,120.383248,22.948791
110年01月20日 10時20分00秒,宜蘭縣員山鄉八甲路12-1號前0.0公尺,死亡1;受傷0,普通輕型-機車,121.706298,24.723773
110年01月20日 11時08分00秒,桃園市新屋區東明路110號旁產業道路,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),121.083728,24.975719
110年01月20日 15時00分13秒,臺東縣達仁鄉台9戊線10.8K北上路肩,死亡1;受傷0,營業用-半聯結車,120.841546,22.252594
110年01月20日 16時03分00秒,臺南市佳里區鎮山里佳南路口 / 臺南市佳里區鎮山里勝利路口,死亡1;受傷0,自用-小客車;普通重型-機車,120.180075,23.148626
110年01月20日 16時21分00秒,澎湖縣馬公市縣202線 4公里200.0公尺處北側向外側,死亡1;受傷0,普通重型-機車,119.631988,23.583061
110年01月20日 18時02分09秒,雲林縣口湖鄉湖口村台17線道路北上107公里附近,死亡1;受傷0,自用-小貨車(含客、貨兩用);行人-人,120.173944,23.552485
110年01月20日 18時55分00秒,屏東縣鹽埔鄉新埔路839號前0.0公尺,死亡1;受傷1,腳踏自行車-慢車;自用-小貨車(含客、貨兩用),120.564391,22.753349
110年01月21日 00時25分57秒,宜蘭縣宜蘭市東港橋上宜市路燈桿6265號前,死亡1;受傷0,普通重型-機車,121.758758,24.758010
110年01月21日 06時26分00秒,桃園市桃園區三民路2段口 / 桃園市桃園區民生路,死亡1;受傷0,營業用-曳引車;普通重型-機車,121.310445,24.999649
110年01月21日 12時50分24秒,宜蘭縣三星鄉上將路七段與雙和一路口,死亡1;受傷3,自用-小客車;自用-小貨車(含客、貨兩用);乘客-人;乘客-人,121.644155,24.677092
110年01月21日 17時52分00秒,臺中市西區中興里公益路 / 臺中市西區中興里美村路,死亡1;受傷0,營業用-小貨車(含客、貨兩用);普通重型-機車,120.661669,24.150855
110年01月21日 18時20分00秒,臺東縣東河鄉台11線 126公里400.0公尺處附近,死亡1;受傷4,自用-小客車;民營公車-大客車;乘客-人;乘客-人;乘客-人;乘客-人,121.344379,23.059007
110年01月21日 20時05分00秒,彰化縣大村鄉黃厝村美港路415號前0.0公尺前,死亡1;受傷0,普通重型-機車,120.582267,23.984253
110年01月21日 20時18分00秒,雲林縣四湖鄉林厝村文化路20巷,死亡1;受傷0,普通重型-機車,120.193566,23.637083
110年01月21日 20時55分00秒,桃園市楊梅區中山北路1段16號前0.0公尺,死亡1;受傷0,行人-人;自用-小客車,121.149606,24.907525
110年01月21日 23時56分00秒,臺東縣大武鄉台9線 408公里700.0公尺處北側向外側,死亡1;受傷0,自用-小貨車(含客、貨兩用),120.938144,22.440477
110年01月22日 00時54分23秒,臺南市仁德區後壁里中正路二段附近 / 臺南市仁德區後壁里德洋路附近,死亡1;受傷1,普通重型-機車;行人-人,120.251436,22.950224
110年01月22日 04時51分00秒,基隆市安樂區安樂路二段145號前0.0公尺,死亡1;受傷1,普通重型-機車;行人-人,121.724197,25.121314
110年01月22日 05時08分00秒,臺北市大安區仁愛路4段 / 臺北市大安區復興南路1段,死亡1;受傷0,普通重型-機車;計程車-小客車,121.543741,25.038088
110年01月22日 11時02分00秒,高雄市左營區大中二路 / 高雄市左營區博愛三路,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車,120.310175,22.681073
110年01月22日 19時09分00秒,苗栗縣苗栗市上苗里為公路口 / 苗栗縣苗栗市上苗里中正路口,死亡1;受傷0,行人-人;民營公車-大客車,120.824529,24.569970
110年01月23日 00時16分00秒,屏東縣里港鄉載興村載南路40號前0.0公尺,死亡1;受傷0,自用-小客車;營業用-曳引車,120.529878,22.779269
110年01月23日 01時58分00秒,臺南市新化區台20線 17.1公里,死亡1;受傷0,普通重型-機車,120.342676,23.066532
110年01月23日 06時00分00秒,新北市鶯歌區新北市鶯歌區環河路32號,死亡2;受傷0,普通重型-機車;乘客-人,121.351623,24.944680
110年01月23日 06時12分00秒,屏東縣屏東市潭墘里環河路前0.0公尺,死亡1;受傷1,自用-小貨車(含客、貨兩用);普通重型-機車;普通重型-機車,120.446722,22.664956
110年01月23日 08時36分00秒,桃園市楊梅區國道1號 68公里900.0公尺處南側向外側,死亡1;受傷3,營業用-半聯結車;自用-小客車;乘客-人;乘客-人;乘客-人,121.126577,24.893840
110年01月23日 15時15分00秒,新北市淡水區新北市淡水區中正東路2段115號,死亡1;受傷1,普通重型-機車;乘客-人,121.459521,25.150497
110年01月23日 16時18分00秒,屏東縣內埔鄉豐田村建國路26號前0.0公尺附近,死亡1;受傷0,普通重型-機車,120.545835,22.643792
110年01月23日 17時01分00秒,臺南市柳營區台1線 294公里200.0公尺處北側向機、慢車道,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車,120.325274,23.275668
110年01月23日 17時45分00秒,桃園市平鎮區快速路一段大溪往觀音編號P239橋墩旁,死亡1;受傷0,自用-小客車;腳踏自行車-慢車,121.229597,24.908701
110年01月23日 19時55分47秒,新竹縣關西鎮新力里竹21線1.5K處,死亡1;受傷0,普通重型-機車,121.132915,24.798812
110年01月24日 02時53分56秒,苗栗縣公館鄉五谷村台6線與苗26線口,死亡1;受傷0,自用-小客車;普通重型-機車,120.818764,24.528990
110年01月24日 07時00分00秒,屏東縣屏東市棒球路口 / 屏東縣屏東市復興路.口,死亡1;受傷1,普通重型-機車;自用-小客車,120.486907,22.657715
110年01月24日 20時08分00秒,高雄市楠梓區右昌街110號前0.0公尺前,死亡1;受傷0,普通重型-機車,120.290696,22.709985
110年01月25日 02時56分00秒,新北市泰山區新北市泰山區泰林路1段15號,死亡1;受傷1,普通重型-機車;拼裝車-其他車,121.440067,25.049859
110年01月25日 07時53分00秒,新北市蘆洲區新北市蘆洲區2號越堤道與2號越堤道,死亡1;受傷1,普通重型-機車;普通重型-機車,121.473062,25.079465
110年01月25日 15時08分15秒,苗栗縣三灣鄉台三線103.6公里處,死亡1;受傷0,自用-小客車;普通重型-機車,120.955819,24.614288
110年01月26日 06時46分00秒,臺中市西屯區西平北巷林厝公園入口處(西平北巷R17燈桿附近),死亡1;受傷0,普通重型-機車,120.623920,24.205091
110年01月26日 07時40分00秒,新北市淡水區新北市淡水區淡金路2段與北新路,死亡1;受傷0,普通重型-機車;營業用-曳引車;自用-小客車,121.446047,25.193459
110年01月26日 12時22分00秒,基隆市信義區基隆市信義區壽山路路段上,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車,121.758280,25.133091
110年01月26日 14時45分00秒,屏東縣枋山鄉台1線 457公里800.0公尺處北側向路肩,死亡1;受傷2,自用-小客車;乘客-人;乘客-人,120.652989,22.261031
110年01月26日 14時48分00秒,彰化縣二林鎮後厝里新華巷前0.0公尺,死亡1;受傷0,普通重型-機車,120.395753,23.904944
110年01月26日 17時09分00秒,臺南市西港區南41線3.6公里處南下一般車道,死亡1;受傷1,普通重型-機車;普通重型-機車,120.180324,23.116953
110年01月26日 18時50分00秒,臺東縣東河鄉台11線 147公里東側向內側,死亡1;受傷3,自用-小貨車(含客、貨兩用);自用-小貨車(含客、貨兩用);乘客-人;乘客-人,121.210765,22.865030
110年01月27日 08時28分00秒,新竹縣竹北市國道1號 91公里500.0公尺處北側向外側,死亡1;受傷1,營業用-大貨車;自用-小貨車(含客、貨兩用);營業用-半聯結車;自用-小客車;自用-小客車;自用-小貨車(含客、貨兩用);乘客-人,121.021903,24.833369
110年01月27日 09時35分21秒,雲林縣西螺鎮大園里光復東路108號前,死亡1;受傷0,營業用-曳引車;普通重型-機車;其他人-人,120.475290,23.797479
110年01月27日 10時06分00秒,新北市土城區新北市土城區中央路2段與員福街,死亡1;受傷0,營業用-曳引車;腳踏自行車-慢車,121.442174,24.978288
110年01月27日 11時12分00秒,新竹市東區研新一路與研新四路,死亡1;受傷2,普通重型-機車;普通重型-機車;乘客-人,120.986875,24.777785
110年01月27日 11時12分08秒,苗栗縣苗栗市國華路1212號前,死亡1;受傷0,營業用-曳引車;普通重型-機車;自用-小客車,120.813420,24.561377
110年01月27日 11時13分28秒,苗栗縣竹南鎮苗3線電線桿(尖筆幹86AD8671BB36)附近,死亡1;受傷3,自用-小客車;自用-小客車;乘客-人;乘客-人,120.898904,24.726329
110年01月27日 11時57分00秒,彰化縣北斗鎮中寮里斗苑路2段 / 彰化縣北斗鎮中寮里光前路,死亡1;受傷1,普通重型-機車;自用-小貨車(含客、貨兩用);乘客-人,120.504903,23.880126
110年01月27日 17時17分24秒,雲林縣元長鄉雲169鄉道與中山路9巷路口,死亡1;受傷0,自用-小客車;普通重型-機車,120.306344,23.647980
110年01月28日 08時15分00秒,高雄市路竹區順安路 / 高雄市路竹區無名路,死亡1;受傷1,普通重型-機車;普通重型-機車,120.238900,22.838020
110年01月28日 10時07分00秒,嘉義縣朴子市竹村里台19線87.2公里與產業道路口,死亡1;受傷0,自用-大貨車;普通重型-機車,120.246290,23.436257
110年01月28日 15時16分25秒,臺南市新市區國道8號 9公里400.0公尺處西側向交流道,死亡1;受傷0,營業用-半聯結車,120.277306,23.065320
110年01月28日 15時55分00秒,宜蘭縣員山鄉內城村員山路2段東側 / 宜蘭縣員山鄉內城村惠民路北側,死亡1;受傷1,自用-大貨車;普通重型-機車;乘客-人,121.709024,24.722923
110年01月29日 05時52分00秒,新北市五股區新北市五股區疏洪一路與疏洪六路,死亡1;受傷0,普通重型-機車,121.458371,25.075385
110年01月29日 09時12分00秒,彰化縣秀水鄉鶴鳴村馬鳴路 / 彰化縣秀水鄉鶴鳴村彰鹿路,死亡1;受傷2,自用-小客車;普通重型-機車;普通重型-機車,120.503701,24.059030
110年01月29日 11時24分00秒,臺北市北投區福國路前0.0公尺,死亡1;受傷0,普通重型-機車;營業用-曳引車;自用-小貨車(含客、貨兩用),121.522520,25.102945
110年01月29日 16時12分30秒,屏東縣萬丹鄉廣安村萬丹路2段口 / 屏東縣萬丹鄉廣安村廣維路口,死亡1;受傷0,營業用-曳引車;普通重型-機車,120.487496,22.606213
110年01月29日 18時39分33秒,苗栗縣竹南鎮台61線 93.6公里南側向機、慢車道,死亡1;受傷0,營業用-曳引車;普通重型-機車,120.867431,24.704208
110年01月30日 02時22分00秒,新北市三芝區新北市三芝區淡金公路(四棧橋39-1號),死亡2;受傷0,自用-小客車;自用-小貨車(含客、貨兩用);自用-小貨車(含客、貨兩用);其他人-人;自用-小貨車(含客、貨兩用);乘客-人,121.502434,25.259345
110年01月30日 11時55分50秒,苗栗縣苑裡鎮東西七路與南北二路路口,死亡1;受傷0,普通重型-機車;自用-小客車,120.640096,24.433150
110年01月30日 19時32分00秒,新北市泰山區新北市泰山區大科路686之2號,死亡1;受傷0,普通重型-機車;普通重型-機車;自用-小客車,121.389780,25.065670
